id,category,city,state,fetched_at
564,insurance company,st. louis park,Minnesota,2024-12-04 15:06:43.015+00
565,law firm,st. louis park,Minnesota,2024-12-04 15:07:12.013+00
566,liquor store,st. louis park,Minnesota,2024-12-04 15:07:42.268+00
567,mechanic,st. louis park,Minnesota,2024-12-04 15:08:07.85+00
568,supermarket,st. louis park,Minnesota,2024-12-04 15:08:34.608+00
569,tire shop,st. louis park,Minnesota,2024-12-04 15:09:23.253+00
570,wedding venue,st. louis park,Minnesota,2024-12-04 15:09:49.149+00
571,window cleaning service,st. louis park,Minnesota,2024-12-04 15:10:25.709+00
572,air conditioning repair service,chesterfield,Missouri,2024-12-04 15:10:53.277+00
573,baby store,chesterfield,Missouri,2024-12-04 15:11:15.664+00
574,beauty salon,chesterfield,Missouri,2024-12-04 15:11:40.172+00
575,construction company,chesterfield,Missouri,2024-12-04 15:12:05.55+00
576,dental clinic,chesterfield,Missouri,2024-12-04 15:12:24.423+00
577,dollar store,chesterfield,Missouri,2024-12-04 15:12:38.777+00
578,family law attorney,chesterfield,Missouri,2024-12-04 15:13:01.833+00
579,fitness center,chesterfield,Missouri,2024-12-04 15:13:20.288+00
580,funeral home,chesterfield,Missouri,2024-12-04 15:13:33.847+00
581,general practice attorney,chesterfield,Missouri,2024-12-04 15:13:58.099+00
582,gutter cleaning service,chesterfield,Missouri,2024-12-04 15:14:19.794+00
583,hairdresser,chesterfield,Missouri,2024-12-04 15:14:45.364+00
584,insurance company,chesterfield,Missouri,2024-12-04 15:15:11.385+00
585,law firm,chesterfield,Missouri,2024-12-04 15:15:34.298+00
586,liquor store,chesterfield,Missouri,2024-12-04 15:16:18.598+00
587,mechanic,chesterfield,Missouri,2024-12-04 15:16:49.65+00
588,supermarket,chesterfield,Missouri,2024-12-04 15:17:21.483+00
589,tire shop,chesterfield,Missouri,2024-12-04 15:17:45.895+00
590,wedding venue,chesterfield,Missouri,2024-12-04 15:18:02.109+00
591,window cleaning service,chesterfield,Missouri,2024-12-04 15:18:28.951+00
592,air conditioning repair service,mclean,Virginia,2024-12-04 15:19:01.422+00
593,baby store,mclean,Virginia,2024-12-04 15:19:20.465+00
594,beauty salon,mclean,Virginia,2024-12-04 15:19:40.084+00
595,construction company,mclean,Virginia,2024-12-04 15:20:06.173+00
596,dental clinic,mclean,Virginia,2024-12-04 15:20:23.668+00
597,dollar store,mclean,Virginia,2024-12-04 15:20:41.747+00
598,family law attorney,mclean,Virginia,2024-12-04 15:21:15.524+00
599,fitness center,mclean,Virginia,2024-12-04 15:22:05.167+00
600,funeral home,mclean,Virginia,2024-12-04 15:22:42.232+00
601,general practice attorney,mclean,Virginia,2024-12-04 15:23:17.857+00
602,gutter cleaning service,mclean,Virginia,2024-12-04 15:23:37.564+00
603,hairdresser,mclean,Virginia,2024-12-04 15:24:01.336+00
604,insurance company,mclean,Virginia,2024-12-04 15:24:29.473+00
605,law firm,mclean,Virginia,2024-12-04 15:24:51.631+00
606,liquor store,mclean,Virginia,2024-12-04 15:25:08.079+00
607,mechanic,mclean,Virginia,2024-12-04 15:25:30.828+00
608,supermarket,mclean,Virginia,2024-12-04 15:25:49.724+00
609,tire shop,mclean,Virginia,2024-12-04 15:26:16.196+00
610,wedding venue,mclean,Virginia,2024-12-04 15:26:35.563+00
611,window cleaning service,mclean,Virginia,2024-12-04 15:26:58.997+00
1537,air conditioning repair service,mooresville,North Carolina,2024-12-12 15:04:32.872+00
1538,baby store,mooresville,North Carolina,2024-12-12 15:05:20.47+00
1539,beauty salon,mooresville,North Carolina,2024-12-12 15:05:43.242+00
1540,construction company,mooresville,North Carolina,2024-12-12 15:06:16.3+00
1541,dental clinic,mooresville,North Carolina,2024-12-12 15:06:43.486+00
1542,dollar store,mooresville,North Carolina,2024-12-12 15:07:14.796+00
1543,family law attorney,mooresville,North Carolina,2024-12-12 15:07:50.878+00
1544,fitness center,mooresville,North Carolina,2024-12-12 15:08:13.007+00
1545,funeral home,mooresville,North Carolina,2024-12-12 15:08:30.701+00
1546,general practice attorney,mooresville,North Carolina,2024-12-12 15:08:55.935+00
1547,gutter cleaning service,mooresville,North Carolina,2024-12-12 15:09:34.439+00
1548,hairdresser,mooresville,North Carolina,2024-12-12 15:09:59.2+00
1549,insurance company,mooresville,North Carolina,2024-12-12 15:10:28.165+00
1550,law firm,mooresville,North Carolina,2024-12-12 15:10:50.716+00
1551,liquor store,mooresville,North Carolina,2024-12-12 15:11:20.096+00
1552,mechanic,mooresville,North Carolina,2024-12-12 15:11:38.445+00
1553,supermarket,mooresville,North Carolina,2024-12-12 15:11:59.108+00
1554,tire shop,mooresville,North Carolina,2024-12-12 15:12:34.968+00
1593,wedding venue,mooresville,North Carolina,2024-12-13 16:39:25.591+00
1624,window cleaning service,mooresville,North Carolina,2024-12-15 16:51:48.238+00
1638,air conditioning repair service,st louis park,Minnesota,2024-12-15 19:10:06.26+00
1639,baby store,st louis park,Minnesota,2024-12-15 19:38:46.135734+00
